,distribution,bed_amount,denied,covid_denied,waiting_time,occupancy,admissioned,failed_reschedules,succesful_reschedules
121,"[4, 4, 12, 4, 14, 5]",43,1054,1300,26400,46.17394074546034,3864,33,91
122,"[4, 4, 12, 5, 13, 5]",38,915,322,23028,68.92844268204759,4461,38,72
123,"[4, 4, 12, 5, 13, 5]",43,880,1263,16638,47.3407136030583,4044,22,74
124,"[4, 4, 12, 6, 12, 5]",38,898,346,17256,67.41438356164383,4480,18,82
125,"[4, 4, 12, 6, 12, 5]",43,920,1285,17316,47.9029945842625,4060,20,81
126,"[4, 4, 12, 7, 11, 5]",38,873,426,11736,66.74206921413122,4404,13,59
127,"[4, 4, 12, 7, 11, 5]",43,799,1353,18552,45.966868429436126,3965,23,67
128,"[4, 4, 12, 8, 10, 5]",38,907,547,25728,63.49044700793078,4328,45,41
129,"[4, 4, 12, 8, 10, 5]",43,751,1311,23292,46.185887225230964,4039,35,72
130,"[4, 4, 13, 4, 13, 5]",38,1052,307,23436,68.09571016582552,4298,29,84
131,"[4, 4, 13, 4, 13, 5]",43,954,1307,19452,44.14861420834661,3934,28,82
132,"[4, 4, 13, 5, 12, 5]",38,824,431,18384,66.47710886806057,4536,27,46
133,"[4, 4, 13, 5, 12, 5]",43,767,1339,11304,46.482956355527236,4055,4,95
134,"[4, 4, 13, 6, 11, 5]",38,1076,447,26382,68.88518385003604,4235,32,85
135,"[4, 4, 13, 6, 11, 5]",43,813,1317,10158,46.33083784644791,4127,9,65
136,"[4, 4, 13, 7, 10, 5]",38,693,565,11568,63.70764239365537,4477,13,57
137,"[4, 4, 13, 7, 10, 5]",43,836,1266,18552,46.20022300095572,3966,23,64
138,"[4, 4, 14, 4, 12, 5]",38,957,364,28464,67.63608507570295,4454,47,80
139,"[4, 4, 14, 4, 12, 5]",43,1075,1297,27828,45.696877986619945,3948,45,73
140,"[4, 4, 14, 5, 11, 5]",38,883,457,11472,65.4902667627974,4297,10,69
141,"[4, 4, 14, 5, 11, 5]",43,986,1315,22488,47.48566422427525,3893,35,64
142,"[4, 4, 14, 6, 10, 5]",38,1004,467,22704,64.97296322999279,4300,31,65
143,"[4, 4, 14, 6, 10, 5]",43,845,1354,12984,47.63937559732399,4030,11,68
144,"[4, 4, 15, 4, 11, 5]",38,1066,453,33948,65.01532083633742,4320,62,67
145,"[4, 4, 15, 4, 11, 5]",43,1024,1257,20778,45.10831474992036,3841,28,63
146,"[4, 4, 15, 5, 10, 5]",38,972,567,25992,63.753604902667625,4273,41,61
147,"[4, 4, 15, 5, 10, 5]",43,965,1343,27156,46.36667728575979,3860,51,39
148,"[4, 5, 4, 8, 17, 5]",38,1564,123,115272,73.60400144196106,4013,22,876
149,"[4, 5, 4, 8, 17, 5]",43,1734,1363,125238,44.46559413826059,3255,17,1045
150,"[4, 5, 4, 9, 16, 5]",38,1560,180,77712,73.1317591925018,3986,17,827
151,"[4, 5, 4, 9, 16, 5]",43,1416,1323,91896,43.82128066263141,3499,4,921
152,"[4, 5, 4, 10, 15, 5]",38,1369,252,61170,68.81849315068493,4109,3,808
153,"[4, 5, 4, 10, 15, 5]",43,1461,1377,129744,43.70739088881809,3277,13,996
154,"[4, 5, 4, 11, 14, 5]",38,1595,246,142242,67.63518385003606,3910,33,972
155,"[4, 5, 4, 11, 14, 5]",43,1702,1250,123024,45.594934692577255,3186,27,948
156,"[4, 5, 4, 12, 13, 5]",38,1627,305,103644,67.64689978370583,3889,23,937
157,"[4, 5, 4, 12, 13, 5]",43,1438,1378,93282,44.3254221089519,3222,33,818
158,"[4, 5, 4, 13, 12, 5]",38,1524,335,93798,65.44160057678442,3825,18,822
159,"[4, 5, 4, 13, 12, 5]",43,1689,1405,136056,46.09748327492832,3234,46,979
160,"[4, 5, 4, 14, 11, 5]",38,1527,495,116826,64.57732516222062,3787,26,984
161,"[4, 5, 4, 14, 11, 5]",43,1696,1263,113550,46.45985982797069,3177,66,879
162,"[4, 5, 4, 15, 10, 5]",38,1621,461,136404,60.84805335255948,3585,47,910
