,distribution,bed_amount,denied,covid_denied,waiting_time,occupancy,admissioned,failed_reschedules,succesful_reschedules
544,"[5, 5, 14, 4, 5]",33,788,427,17694,61.99564134495641,4026,22,78
545,"[5, 6, 4, 6, 12]",33,1499,70,113076,72.93171440431715,3847,6,972
546,"[5, 6, 4, 7, 11]",33,1650,132,119178,73.51598173515981,3641,29,954
547,"[5, 6, 4, 8, 10]",33,1312,149,94662,68.57202158572021,3878,2,959
548,"[5, 6, 4, 9, 9]",33,1421,284,101862,71.49232046492321,3623,11,929
549,"[5, 6, 4, 10, 8]",33,1332,300,64992,67.38999584889996,3646,19,697
550,"[5, 6, 4, 11, 7]",33,1479,426,109368,65.97654628476546,3516,9,944
551,"[5, 6, 4, 12, 6]",33,1436,454,81708,64.92009132420091,3583,17,905
552,"[5, 6, 4, 13, 5]",33,1514,454,139368,62.70651722706517,3376,19,1048
553,"[5, 6, 5, 5, 12]",33,1366,125,41490,76.29514321295143,3896,10,604
554,"[5, 6, 5, 6, 11]",33,1196,131,34620,73.42984640929846,4042,7,536
555,"[5, 6, 5, 7, 10]",33,1467,159,57198,72.12328767123287,3728,22,700
556,"[5, 6, 5, 8, 9]",33,1248,211,44154,69.88895807388958,3778,21,577
557,"[5, 6, 5, 9, 8]",33,1316,337,48240,70.64757160647571,3598,22,568
558,"[5, 6, 5, 10, 7]",33,1150,386,37920,65.08198422581984,3816,2,618
559,"[5, 6, 5, 11, 6]",33,1224,368,51648,65.69738480697384,3575,14,615
560,"[5, 6, 5, 12, 5]",33,1354,495,57864,64.64923204649232,3424,38,681
561,"[5, 6, 6, 4, 12]",33,1157,88,30060,73.73910336239103,3949,21,442
562,"[5, 6, 6, 5, 11]",33,1141,142,27552,74.07326691573267,4042,12,431
563,"[5, 6, 6, 6, 10]",33,1019,174,33054,72.48858447488584,4228,12,516
564,"[5, 6, 6, 7, 9]",33,1049,225,27816,72.9472810294728,4006,10,421
565,"[5, 6, 6, 8, 8]",33,970,270,20478,71.51411374014114,4035,0,415
